Entity,Code_x,Year_x,Deaths - Self-harm - Sex: Both - Age: Age-standardized (Rate)_x,Prevalence - Depressive disorders - Sex: Both - Age: Age-standardized (Rate)_x,change in depression,change in suicide,,Year_y,Deaths - Self-harm - Sex: Both - Age: Age-standardized (Rate)_y,Prevalence - Depressive disorders - Sex: Both - Age: Age-standardized (Rate)_y,population,Continent_y
Libya,LBY,1990,6.451105593,3562.857048,0.065925959,0.931047128,,2017,8.072802093,3626.275935,6580723,
Liechtenstein,LIE,1990,,,#DIV/0!,#DIV/0!,,2017,,,37805,
Lithuania,LTU,1990,27.96991886,4021.083727,-0.134122101,0.00273648,,2017,27.99058442,3875.468354,2845419,
Low SDI,,1990,13.56692357,3682.055007,-0.127266466,-0.834890166,,2017,10.50866298,3555.532432,,
Low-middle SDI,,1990,15.82803605,3701.69174,-0.162060629,-1.000651415,,2017,11.55168245,3539.719147,,
Luxembourg,LUX,1990,16.08722668,3739.709628,-0.409980803,-1.699584909,,2017,8.704992604,3325.743156,591914,
Macao,MAC,1990,,,#DIV/0!,#DIV/0!,,2017,,,622578,
Madagascar,MDG,1990,14.58775749,3737.211132,-0.080462101,-0.914550796,,2017,10.98562128,3656.02109,25570511,
Malawi,MWI,1990,12.20569438,3478.513386,-0.112715838,-0.026299206,,2017,12.11902436,3372.650827,17670193,
Malaysia,MYS,1990,9.697636878,3133.426511,0.186017321,-0.707505892,,2017,7.845130367,3290.801844,31104655,
Maldives,MDV,1990,10.52028812,3307.198128,-0.379642686,-2.525689706,,2017,3.3461226,2968.198661,496398,
Mali,MLI,1990,7.610041905,3039.326321,-0.081588571,-0.388458278,,2017,6.811872286,2972.373262,18512429,
Malta,MLT,1990,4.798127912,3209.054387,-0.126846459,-0.209260421,,2017,4.52703218,3099.148947,437935,
Marshall Islands,MHL,1990,27.04307287,3045.288355,-0.018347876,-0.627528177,,2017,22.46109451,3030.20222,58053,
Martinique,MTQ,1990,,,#DIV/0!,#DIV/0!,,2017,,,375946,
Mauritania,MRT,1990,7.714852309,3107.139682,-0.103320971,-0.518137189,,2017,6.635567299,3020.460856,4282582,
Mauritius,MUS,1990,13.06211354,3564.280746,-0.24042175,-1.347293815,,2017,8.310517248,3332.90948,1264497,
Mayotte,MYT,1990,,,#DIV/0!,#DIV/0!,,2017,,,252962,
Mexico,MEX,1990,4.012773987,2531.405331,0.134650377,1.76253216,,2017,5.922387652,2623.436095,124777326,
Micronesia (country),FSM,1990,22.10071546,3093.278295,-0.037792051,-0.847224793,,2017,17.04516146,3061.714936,111461,
Middle SDI,,1990,16.10654507,3211.365038,-0.194335053,-1.706339113,,2017,8.686073557,3042.863223,,
Moldova,MDA,1990,17.41386791,3589.921242,-0.341658156,-0.803344142,,2017,13.63674914,3258.759257,4059687,
Monaco,MCO,1990,,,#DIV/0!,#DIV/0!,,2017,,,38392,
Mongolia,MNG,1990,15.45900286,3242.441784,0.146577016,-0.024164157,,2017,15.35814334,3370.763993,3113788,
Montenegro,MNE,1990,10.67028818,2422.222252,-0.006233397,-0.446942963,,2017,9.382655422,2418.14561,627563,
Montserrat,MSR,1990,,,#DIV/0!,#DIV/0!,,2017,,,4989,
Morocco,MAR,1990,8.017469391,5340.022913,-0.103597269,-0.402130083,,2017,7.14697167,5190.655729,35581257,
Mozambique,MOZ,1990,15.82028611,3735.922348,0.099072527,0.323976278,,2017,17.20414341,3835.85671,28649007,
Myanmar,MMR,1990,7.77946675,2227.338801,0.016839726,-1.30298714,,2017,5.042599564,2237.4659,53382521,
